Job Name,Job Level,Company Name,City,Area,Country,Skills
Elementary Teacher,Senior,EF English First Batam,Bogor,West Java,Indonesia,['Team Work']
Art Teacher,Intermediate,Morphoo School,Palembang,South Sumatra,Indonesia,"['Curriculum Development', 'Problem Solving', 'Exploration', 'Coaching']"
IT Teacher For Kids,Senior,One Third Consulting and Abroad,Sumedang,West Java,Indonesia,['Training Plans']
Python Tutor,Entry Level,BSI,Denpasar,Dangin Puri,Indonesia,['Problem Solving']
Part Time Tutor,Entry Level,Sekolah Citra Kasih,Sangereng,Panunggangan Barat,Indonesia,"['Willing to Learn', 'Team Work']"
History Teacher,Senior,Royal Prime Montessori Elementary and Junior School,Tangerang,Banten,Indonesia,['Problem Solving']
Freelance Business English Tutor [Native Speaker],Entry Level,Tsurayya Indonesia,Palembang,South Sumatra,Indonesia,"['Training Plans', 'Ambitious', 'Mentoring']"
Master Teacher Social Studies,Senior,Marriott,Malang,Kota Malang,Indonesia,"['Adaptable', 'Training Plans', 'Team Work', 'Mandarin']"
Private Tutor,Senior,BrightCHAMPS,Tangerang,Banten,Indonesia,['Zoom']
Chemistry Teacher,Intermediate,Rakids Learning Center,Depok,Bogor,Indonesia,['Mandarin']
Digital Marketing Tutor,Entry Level,SMARTZ.ID,Depok,Bogor,Indonesia,"['Teaching', 'Adaptable', 'Mandarin', 'Coaching']"
Economics Teacher,Senior,LightHouse Academy,Cilacap,Central Java,Indonesia,['Adaptable']
Preschool/Kindergarten Teacher,Entry Level,The Champion School,Palembang,South Sumatra,Indonesia,"['Problem Solving', 'Training Plans', 'Assisting']"
Python Tutor,Entry Level,Educourse.id,Makassar,South Sulawesi,Indonesia,"['Ambitious', 'Exploration', 'Disciplinaries', 'Assisting']"
homeschooling teacher,Entry Level,Digital Skola,Bandar Lampung,Lampung,Indonesia,"['Coaching', 'Curriculum Development']"
Data Science Tutor,Senior,Guru.mu,Malang,Kota Malang,Indonesia,"['E-Learning', 'Tutoring']"
Python Tutor,Senior,E-cube,Palembang,South Sumatra,Indonesia,['Team Work']
Biology Tutor,Senior,Oxbridge International School,Malang,Kota Malang,Indonesia,['Willing to Learn']
Digital Marketing Tutor,Senior,PT Trakindo Utama,Semarang,Central Java,Indonesia,"['Problem Solving', 'Willing to Learn', 'Lesson Planning']"
Freelance Japanese Tutor,Intermediate,Sekolah Pelita Bangsa,Jakarta,Java,Indonesia,"['Training Plans', 'Lesson Planning']"
Online Tutor: Roblox (Remote),Intermediate,One Third Consulting and Abroad,Tangerang,Banten,Indonesia,"['Adaptable', 'Disciplinaries', 'Mandarin']"
school counselor,Entry Level,The Gandhi Memorial Intercontinental School,Bogor,West Java,Indonesia,"['Exploration', 'Curriculum Development']"
Instructor Trainee,Entry Level,Kobi Education,Bandar Lampung,Lampung,Indonesia,"['Tutoring', 'Mandarin']"
Student Support Teacher,Intermediate,CIE Central International Education,Jepara,Central Java,Indonesia,"['Communication', 'Problem Solving']"
Assistant Teacher,Intermediate,The Gandhi Memorial Intercontinental School,Bogor,West Java,Indonesia,"['Tutoring', 'Mandarin', 'Teaching', 'Communication']"
TIK / Computer Teacher,Senior,LingoTalk,Tangerang,Banten,Indonesia,"['Teaching', 'Assisting', 'Problem Solving']"
Master Teacher Mathematics,Senior,EF English First Batam,Medan,North Sumatra,Indonesia,"['Mentoring', 'Mandarin']"
Private Tutor,Intermediate,Widya Edutech,Tangerang,Banten,Indonesia,['Adaptable']
Master Teacher Social Studies,Entry Level,Pt Inspirasi Mandiri Nusantara,Cilacap,Central Java,Indonesia,"['Coaching', 'Mandarin', 'Lesson Planning', 'Tutoring']"
Psychology Lecturer,Intermediate,Widya Edutech,Sangereng,Panunggangan Barat,Indonesia,"['Team Work', 'E-Learning']"
Islamic Religion Teacher,Entry Level,Schoters,Bandar Lampung,Lampung,Indonesia,"['Ambitious', 'Problem Solving', 'Disciplinaries', 'Coaching']"
Tutor / Training ( Client Manager),Entry Level,PT. Infinite Potensi,Jepara,Central Java,Indonesia,['Exploration']
Homeroom Teacher,Senior,Sekolah Citra Kasih,Bekasi,West Java,Indonesia,"['Tutoring', 'Teaching']"
3D Tutor for CG Fundamentals,Senior,Kobi Education,Denpasar,Dangin Puri,Indonesia,"['Tutoring', 'Mentoring', 'Disciplinaries', 'Lesson Planning']"
Biology Tutor,Intermediate,PT Trakindo Utama,Tangerang,Banten,Indonesia,['Coaching']
Instructor Trainee,Intermediate,Schoters,Depok,Bogor,Indonesia,"['Coaching', 'Zoom']"
Education Counselor,Senior,Global Jaya International School,Malang,Kota Malang,Indonesia,"['Adaptable', 'Assisting', 'Communication']"
Music and Vocal Teacher,Entry Level,Global Jaya International School,Makassar,South Sulawesi,Indonesia,"['Communication', 'Tutoring']"
Physical Education Teacher,Intermediate,Sekolah Pelita Bangsa,Palembang,South Sumatra,Indonesia,"['Tutoring', 'Assisting', 'Team Work', 'Lesson Planning']"
Digital Business Lecturer,Entry Level,Educourse.id,Makassar,South Sulawesi,Indonesia,"['Team Work', 'Disciplinaries', 'Tutoring']"
French tutor,Intermediate,Royal Prime Montessori Elementary and Junior School,Palembang,South Sumatra,Indonesia,['Mandarin']
Master Teacher Mathematics,Intermediate,Kodingbean,Tangerang,Banten,Indonesia,"['Coaching', 'Training Plans', 'Assisting', 'English']"
Korean Teacher,Intermediate,Oxbridge International School,Tangerang,Banten,Indonesia,['Disciplinaries']
Training,Entry Level,Ruangguru,Malang,Kota Malang,Indonesia,"['Mentoring', 'English']"
Education Counselor,Entry Level,Helpmate course,Bandung,West Java,Indonesia,"['Mandarin', 'Zoom', 'E-Learning', 'Teaching']"
Chemistry Teacher,Intermediate,PT Trakindo Utama,Bandar Lampung,Lampung,Indonesia,"['Coaching', 'Team Work', 'Problem Solving']"
IT Teacher For Kids,Entry Level,Guardian Jobs,Palembang,South Sumatra,Indonesia,"['English', 'Exploration', 'Problem Solving', 'Communication']"
Doctor Professional Education Lecturer,Intermediate,Newton Education Group,Bekasi,West Java,Indonesia,"['English', 'Team Work', 'Teaching', 'Disciplinaries']"
IT Teacher For Kids,Entry Level,Royal Prime Montessori Elementary and Junior School,Tangerang,Banten,Indonesia,"['Tutoring', 'Problem Solving']"
Japanese and Mandarin Tutor,Intermediate,Lingua Course,Jakarta,Java,Indonesia,"['Training Plans', 'Mandarin', 'Curriculum Development', 'Team Work']"
Online Tutor: Roblox (Remote),Senior,Digital Skola,Jepara,Central Java,Indonesia,['Teaching']
Vocal Teacher,Entry Level,The Gandhi Memorial Intercontinental School,Jakarta,Java,Indonesia,"['English', 'Problem Solving', 'Mentoring', 'Adaptable']"
Biology Tutor,Entry Level,BSI,Surabaya,East Java,Indonesia,"['Assisting', 'Curriculum Development']"
International English Teacher,Senior,The Gandhi Memorial Intercontinental School,Malang,Kota Malang,Indonesia,"['Disciplinaries', 'E-Learning']"
Chemistry Teacher,Senior,LancarBahasa.ID,Semarang,Central Java,Indonesia,"['Disciplinaries', 'Coaching']"
3D Tutor for CG Fundamentals,Entry Level,Newton Education Group,Bandar Lampung,Lampung,Indonesia,"['Tutoring', 'Exploration', 'Teaching', 'Zoom']"
Elementary IT Teacher,Entry Level,E-cube,Medan,North Sumatra,Indonesia,"['Lesson Planning', 'Curriculum Development']"
Online Tutor: Roblox (Remote),Intermediate,Kobi Education,Makassar,South Sulawesi,Indonesia,"['Exploration', 'Coaching', 'Willing to Learn', 'Training Plans']"
Data Science Tutor,Senior,Ruangguru,Palembang,South Sumatra,Indonesia,"['Coaching', 'Adaptable']"
Tutor Baby Class,Intermediate,Kobi Education,Palembang,South Sumatra,Indonesia,"['English', 'Coaching', 'Willing to Learn', 'Team Work']"
Homeroom Teacher,Senior,St. Johannes Berchmans,Jepara,Central Java,Indonesia,['Exploration']
Teacher,Entry Level,The Gandhi Memorial Intercontinental School,Bekasi,West Java,Indonesia,"['Coaching', 'Exploration', 'Willing to Learn', 'Communication']"
Sociology Teacher,Intermediate,BrightCHAMPS,Sumedang,West Java,Indonesia,"['Disciplinaries', 'Teaching', 'Coaching']"
Instructor Trainee,Senior,BSI,Jakarta,Java,Indonesia,"['Mentoring', 'Coaching', 'Team Work', 'Curriculum Development']"
Visual Arts Teacher,Entry Level,Guardian Jobs,Makassar,South Sulawesi,Indonesia,['Tutoring']
Tutor / Training ( Client Manager),Intermediate,One Third Consulting and Abroad,Denpasar,Dangin Puri,Indonesia,"['Mentoring', 'English', 'Team Work', 'Coaching']"
Robotics Teacher/Tutor,Entry Level,Global Jaya International School,Malang,Kota Malang,Indonesia,['Mentoring']
Art Teacher,Senior,Pt Inspirasi Mandiri Nusantara,Cilacap,Central Java,Indonesia,['Ambitious']
Research Assistant - Chinese Speaker,Senior,Guardian Jobs,Medan,North Sumatra,Indonesia,"['Mandarin', 'Assisting', 'Adaptable']"
Python Tutor,Intermediate,SPK My Little Island School,Denpasar,Dangin Puri,Indonesia,"['English', 'Willing to Learn', 'Disciplinaries']"
Social Teacher,Senior,Lingua Course,Medan,North Sumatra,Indonesia,"['Adaptable', 'Mentoring', 'Lesson Planning', 'English']"
Vocal Teacher,Entry Level,Concentrix,Denpasar,Dangin Puri,Indonesia,"['Adaptable', 'Assisting', 'Exploration', 'Ambitious']"
Chemistry Teacher,Senior,Global Jaya International School,Semarang,Central Java,Indonesia,"['Coaching', 'Mentoring', 'Training Plans', 'Exploration']"
Social Teacher,Senior,Guru.mu,Medan,North Sumatra,Indonesia,"['Ambitious', 'Tutoring', 'English']"
International English Teacher,Entry Level,Sekolah Citra Kasih,Malang,Kota Malang,Indonesia,"['Mandarin', 'Problem Solving', 'Assisting', 'Communication']"
Pharmacy Lecturer,Senior,Tsurayya Indonesia,Palembang,South Sumatra,Indonesia,"['Lesson Planning', 'Adaptable', 'Tutoring']"
Digital Marketing Tutor,Intermediate,Practicum USA,Palembang,South Sumatra,Indonesia,['Mandarin']
Physical Education Teacher,Intermediate,SPK My Little Island School,Sumedang,West Java,Indonesia,"['Zoom', 'Mentoring', 'Ambitious']"
Social Teacher,Senior,The Champion School,Medan,North Sumatra,Indonesia,"['Problem Solving', 'Willing to Learn', 'Ambitious']"
Psychology Lecturer,Senior,E-cube,Tangerang,Banten,Indonesia,"['Disciplinaries', 'Adaptable', 'Zoom', 'Lesson Planning']"
Social Teacher,Entry Level,LingoTalk,Tangerang,Banten,Indonesia,"['Tutoring', 'Disciplinaries', 'Problem Solving', 'Training Plans']"
Primary English Teacher,Entry Level,Lingua Course,Medan,North Sumatra,Indonesia,['Teaching']
